system:index,AFG,BGR,LTR,PFG,SHR,TRE,latitude,longitude
46463,3,45,17,6,23,1,32.586881,-106.8000304
46464,3,43,18,8,22,1,32.586881,-106.7997609
46465,3,42,18,9,23,1,32.586881,-106.7994914
46466,3,43,18,9,21,1,32.586881,-106.7992219
46467,3,46,17,6,23,0,32.586881,-106.7989524
46468,3,48,16,3,23,0,32.586881,-106.7986829
46469,3,49,16,3,23,0,32.586881,-106.7984134
46470,3,48,16,4,23,0,32.586881,-106.7981439
46471,3,47,17,5,21,0,32.586881,-106.7978744
46472,3,46,17,6,23,0,32.586881,-106.7976049
46473,3,46,16,6,23,0,32.586881,-106.7973354
46474,3,47,17,5,23,0,32.586881,-106.797066
46475,4,46,17,5,24,0,32.586881,-106.7967965
46476,3,46,16,4,25,0,32.586881,-106.796527
46477,4,45,17,5,25,0,32.586881,-106.7962575
46478,4,45,17,5,24,1,32.586881,-106.795988
46479,4,45,18,6,24,1,32.586881,-106.7957185
46480,3,45,18,7,22,1,32.586881,-106.795449
46481,3,46,18,8,21,1,32.586881,-106.7951795
46482,3,47,18,8,20,1,32.586881,-106.79491
46483,3,47,18,8,21,1,32.586881,-106.7946405
46484,3,43,19,12,22,1,32.586881,-106.794371
46485,6,39,20,15,22,1,32.586881,-106.7941015
46486,6,33,20,18,25,2,32.586881,-106.793832
46487,5,31,20,20,24,2,32.586881,-106.7935625
46488,4,34,19,19,22,2,32.586881,-106.793293
46489,3,37,18,17,21,1,32.586881,-106.7930235
46490,3,43,18,14,18,1,32.586881,-106.792754
46491,2,45,17,12,20,1,32.586881,-106.7924845
46492,2,44,17,12,20,1,32.586881,-106.792215
46493,2,43,17,14,20,1,32.586881,-106.7919456
46494,2,42,18,16,19,1,32.586881,-106.7916761
46495,2,41,18,16,19,1,32.586881,-106.7914066
46496,3,41,17,15,20,1,32.586881,-106.7911371
46497,3,40,17,13,22,1,32.586881,-106.7908676
46498,3,42,17,12,22,1,32.586881,-106.7905981
46499,4,43,17,10,22,1,32.586881,-106.7903286
46500,4,43,17,9,24,1,32.586881,-106.7900591
46501,4,41,17,9,24,1,32.586881,-106.7897896
46502,4,41,17,10,23,1,32.586881,-106.7895201
46503,2,44,18,17,14,1,32.58661151,-106.8533903
46504,2,42,18,17,15,1,32.58661151,-106.8531208
46505,2,44,18,17,14,1,32.58661151,-106.8528513
46506,2,43,18,17,14,1,32.58661151,-106.8525818
46507,2,44,19,18,12,1,32.58661151,-106.8523123
46508,2,45,19,18,12,1,32.58661151,-106.8520428
46509,2,45,19,18,12,1,32.58661151,-106.8517734
46510,2,44,19,18,13,1,32.58661151,-106.8515039
46511,2,43,19,19,12,0,32.58661151,-106.8512344
46512,2,44,19,18,12,0,32.58661151,-106.8509649
46513,2,45,19,18,12,1,32.58661151,-106.8506954
46514,2,45,19,18,12,1,32.58661151,-106.8504259
46515,2,45,19,18,12,1,32.58661151,-106.8501564
